City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
164,bejaia,36.7559,5.0843,72.16,43,60,2.04,DZ,1682412299
165,calca,-13.3333,-71.95,51.64,86,93,0.22,PE,1682412299
166,margaret river,-33.95,115.0667,57.42,86,100,22.64,AU,1682412300
167,pangody,65.85,74.4859,29.61,79,13,10.4,RU,1682412301
168,port mathurin,-19.6833,63.4167,79.07,79,43,19.64,MU,1682412301
169,ponta delgada,37.7333,-25.6667,63.32,100,100,3.44,PT,1682412302
170,riverton,40.5219,-111.9391,41.14,88,100,15.99,US,1682412303
171,vadso,70.0744,29.7487,33.96,69,20,28.77,NO,1682412304
172,arteche,12.2645,125.4048,79.9,82,100,6.15,PH,1682412304
173,ilulissat,69.2167,-51.1,32.02,69,81,2.3,GL,1682412305
174,cheremukhovo,60.3484,59.9851,63.86,42,37,11.7,RU,1682412306
175,baoqing,46.3317,132.2111,55.13,49,100,9.08,CN,1682412306
176,zuera,41.8677,-0.7898,69.51,53,96,12.86,ES,1682412307
177,san pedro pochutla,15.7333,-96.4667,73.71,79,51,2.75,MX,1682412308
178,lunino,53.5918,45.2271,54.91,89,100,12.33,RU,1682412308
179,ciudad victoria,23.7333,-99.1333,66.43,84,98,2.98,MX,1682412161
180,aasiaat,68.7098,-52.8699,22.93,100,100,6.51,GL,1682412264
181,kamaishi,39.2667,141.8833,46.35,61,100,6.73,JP,1682412310
182,mizdah,31.4451,12.9801,76.46,18,8,5.66,LY,1682412311
183,qandala,11.472,49.8728,88.02,58,57,5.91,SO,1682412311
184,port lincoln,-34.7333,135.8667,68.22,68,100,10.0,AU,1682412312
185,shangqiu,34.45,115.65,67.33,43,11,8.41,CN,1682412313
186,assab,13.0092,42.7394,88.56,58,7,23.69,ER,1682412314
187,antsiranana,-12.2787,49.2917,90.36,62,40,9.22,MG,1682412315
188,shiguai,40.7058,110.2856,50.38,16,0,8.34,CN,1682412315
189,solleftea,63.1667,17.2667,34.38,97,100,10.13,SE,1682412316
190,thompson,55.7435,-97.8558,24.96,68,0,2.3,CA,1682412161
191,saldanha,-33.0117,17.9442,66.25,73,1,6.49,ZA,1682412317
192,vrontados,38.4089,26.1328,67.86,73,20,9.22,GR,1682412318
193,maiurno,13.4167,33.6667,104.85,13,48,9.86,SD,1682412319
194,mar del plata,-38.0023,-57.5575,61.95,96,100,0.0,AR,1682412320
195,fale old settlement,-9.3852,-171.2468,84.2,75,53,7.94,TK,1682412320
196,olyokminsk,60.3736,120.4264,36.03,66,100,4.74,RU,1682412321
197,mermoz boabab,14.7065,-17.4758,70.36,94,0,9.22,SN,1682412322
198,vilyuysk,63.7553,121.6247,29.57,83,100,2.62,RU,1682412322
199,kargasok,59.0556,80.8572,37.69,51,86,17.54,RU,1682412323
200,rio grande,-32.035,-52.0986,68.05,90,97,13.65,BR,1682412252
201,myory,55.6217,27.6299,61.66,48,5,15.61,BY,1682412324
202,ebon,4.582,168.6964,81.7,79,100,9.69,MH,1682412325
203,bandiagara,14.3501,-3.6104,95.77,7,47,11.05,ML,1682412325
204,woolgoolga,-30.1106,153.2007,63.05,70,90,10.0,AU,1682412326
205,huarmey,-10.0681,-78.1522,74.61,85,94,6.2,PE,1682412327
206,enewetak,11.3474,162.3373,78.04,88,100,18.7,MH,1682412282
207,tandil,-37.3217,-59.1332,52.47,93,87,0.49,AR,1682412328
208,udachny,66.4167,112.4,28.45,63,100,16.82,RU,1682412328
209,otradnaya,44.3933,41.5206,54.73,76,99,4.65,RU,1682412330
210,gagliano del capo,39.8442,18.3695,63.81,94,0,10.36,IT,1682412330
211,sao jose da coroa grande,-8.8978,-35.1478,75.99,87,50,4.16,BR,1682412331
212,matoury,4.8483,-52.3317,73.36,100,100,2.3,GF,1682412332
213,moyynkum,44.2914,72.9469,71.24,21,0,20.2,KZ,1682412333
214,callao,-12.0667,-77.15,73.72,83,0,8.05,PE,1682412333
215,sisimiut,66.9395,-53.6735,33.19,91,100,6.38,GL,1682412186
216,kununurra,-15.7667,128.7333,91.38,43,12,6.91,AU,1682412335
217,ngaoundere,7.3167,13.5833,84.87,39,97,3.47,CM,1682412335
218,nizhneudinsk,54.9076,99.0276,39.51,85,99,15.61,RU,1682412336
219,san juan,-31.5375,-68.5364,61.45,54,0,4.25,AR,1682412203
220,kirakira,-10.4544,161.9205,80.85,81,87,4.74,SB,1682412337
221,bardai,11.65,7.2333,93.02,22,83,3.27,NG,1682412338
222,usinsk,65.9939,57.5281,31.86,93,89,7.45,RU,1682412338
223,saint-pierre,-21.3393,55.4781,78.48,83,75,8.05,RE,1682412339
224,kijang,35.2442,129.2139,51.53,89,100,8.21,KR,1682412340
225,tura,25.5198,90.2201,91.67,26,48,8.21,IN,1682412340
226,tsiombe,-25.3,45.4833,82.0,45,17,9.6,MG,1682412341
227,island harbour,50.724,-1.2758,47.98,68,3,7.0,GB,1682412341
228,olonkinbyen,70.9221,-8.7187,25.54,78,93,15.39,SJ,1682412342
229,chibougamau,49.9168,-74.3659,35.22,100,100,4.61,CA,1682412343
230,alofi,-19.0595,-169.9187,71.49,94,73,1.14,NU,1682412344
231,salinopolis,-0.6136,-47.3561,77.34,88,100,5.86,BR,1682412253
232,argo,37.6333,22.7333,67.78,32,99,8.88,GR,1682412345
233,laojunmiao,39.8333,97.7333,64.29,8,40,14.56,CN,1682412102
234,baoying,33.2292,119.3092,57.02,67,100,10.47,CN,1682412347
235,le port,-20.9373,55.2919,78.8,98,87,6.58,RE,1682412347
236,taroa,8.7058,171.2275,81.72,80,100,18.99,MH,1682412348
237,tosontsengel,48.7567,98.2839,51.55,23,100,13.58,MN,1682412348
238,hammerfest,70.6634,23.6821,32.45,80,75,12.66,NO,1682412349
239,dahlonega,34.5326,-83.9849,46.44,75,72,3.85,US,1682412350
240,slyudyanka,51.6594,103.7061,48.43,51,51,0.94,RU,1682412350
241,austin,30.2672,-97.7431,64.51,89,40,5.75,US,1682411853
242,kudahuvadhoo,2.6708,72.8944,84.22,72,95,9.37,MV,1682412352
243,kirillov,59.863,38.3813,66.6,32,93,5.35,RU,1682412352
244,kourou,5.1552,-52.6478,73.45,93,100,6.06,GF,1682412353
245,petropavlovsk-kamchatsky,53.0452,158.6483,37.99,48,75,11.18,RU,1682412353
246,ust'-ilimsk,58.0006,102.6619,47.52,64,100,5.73,RU,1682412354
247,ascension,30.2169,-90.9001,64.0,78,0,0.0,US,1682412355
248,changde,29.0464,111.6783,66.92,62,49,6.62,CN,1682412356
249,chadron,42.8294,-102.9999,47.88,67,0,4.61,US,1682412357
250,dwarka,22.2394,68.9678,87.98,47,100,9.28,IN,1682412357
251,kailua-kona,19.6406,-155.9956,74.5,89,82,4.0,US,1682412358
252,oranjestad,12.524,-70.027,76.95,83,20,4.61,AW,1682412065
253,jeronimo monteiro,-20.7894,-41.395,64.76,96,47,2.17,BR,1682412361
254,coyhaique,-45.5752,-72.0662,48.81,93,0,2.3,CL,1682412362
255,irymple,-34.25,142.1667,71.1,54,95,1.01,AU,1682412363
256,chegdomyn,51.1167,133.0167,37.13,83,100,7.49,RU,1682412363
257,sosnovka,56.255,51.2842,67.64,34,100,7.99,RU,1682412364
258,selfoss,63.9331,-20.9971,36.05,50,78,10.76,IS,1682412365
259,freetown,8.484,-13.2299,78.51,78,75,11.5,SL,1682412366
260,greymouth,-42.4667,171.2,56.89,89,98,14.27,NZ,1682412367
261,zhelezinka,53.54,75.3072,57.07,35,69,8.55,KZ,1682412368
262,namibe,-15.1961,12.1522,79.81,60,29,4.79,AO,1682412368
263,queenstown,-31.8976,26.8753,74.73,27,34,4.12,ZA,1682412369
264,lamu,-2.2717,40.902,75.42,70,100,13.42,KE,1682412370
265,alcobaca,39.5522,-8.9775,65.88,86,77,5.41,PT,1682412370
266,kruisfontein,-34.0033,24.7314,67.89,70,100,1.3,ZA,1682412218
267,guane,22.2025,-84.0875,72.59,80,18,2.46,CU,1682412373
268,hermanus,-34.4187,19.2345,65.8,72,12,1.48,ZA,1682412374
269,voru,57.8339,27.0194,65.17,38,6,11.3,EE,1682412374
270,sovetskaya gavan',48.9723,140.2878,39.97,64,100,5.28,RU,1682412375
271,chonchi,-42.6128,-73.8092,52.81,98,100,4.59,CL,1682412359
272,mana,5.6592,-53.7767,75.65,92,100,6.13,GF,1682412376
273,quellon,-43.1167,-73.6167,52.05,100,100,2.3,CL,1682412377
274,mao,39.8885,4.2658,64.96,82,20,5.75,ES,1682412377
